ClassQualifiedName,CBO,CYCLO,DIT,ELOC,FanIn,LCOM,LOC,LOCNAMM,NMNOPARAM,NOA,NOC,NOM,NOMNAMM,NOPA,PMMM,PRB,WLOCNAMM,WMC,WMCNAMM,Complex_Class,Large_Class,Spaghetti_Code,project_name
org.apache.lucene.util.SmartRandom,4,4,2,16,6,1,16,16,0,1,0,2,2,0,0,0,5,4,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.util.ThreeLongs,4,4,1,16,12,1,16,16,1,1,0,3,3,1,0.3333333333333333,0,3.3333333333333335,4,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.util.ThrottledIndexOutput,36,36,2,87,12,0,87,87,4,10,0,16,16,1,0.3125,0,4.6875,36,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.util._TestIgnoredException,8,8,2,25,3,6,25,25,1,0,0,4,4,0,0,0,5,8,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.util._TestUtil,92,92,1,383,731,351,383,383,0,5,0,27,27,0,0.2222222222222222,0,13.962962962962964,92,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.TestAssertions,2,2,2,77,1,0,77,77,1,0,0,1,1,0,0,0,28,2,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.TestDemo,3,3,2,31,2,0,31,31,1,0,0,1,1,0,0,0,26,3,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.TestMergeSchedulerExternal,6,6,2,81,1,1,81,81,2,3,0,2,2,0,0,0,15,6,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.TestSearch,14,14,2,73,35,6,73,73,1,0,0,4,4,0,0.25,0,17,14,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.TestSearchForDuplicates,21,21,2,92,1,4,92,92,1,5,0,5,5,0,0.2,0,17,21,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestASCIIFoldingFilter,9,9,2,114,1,3,114,114,2,0,0,3,3,0,0,0,37.333333333333336,9,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestAnalyzers,30,30,2,128,1,55,128,128,10,0,0,11,11,0,0.18181818181818182,0,10.272727272727273,30,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestCachingTokenFilter,13,13,2,60,1,0,60,60,2,4,0,3,3,0,0,0,22.666666666666668,13,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestCharArrayMap,12,12,2,194,1,10,194,194,4,0,0,5,5,0,0.2,0,38.4,12,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestCharArraySet,44,44,2,407,1,0,407,407,18,1,0,18,18,0,0,0,22.444444444444443,44,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestCharFilter,8,8,2,34,1,6,34,34,4,0,0,4,4,0,0,0,4,8,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestCharTokenizers,30,30,2,131,1,55,131,131,11,0,0,11,11,0,0.36363636363636365,0,7.909090909090909,30,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestClassicAnalyzer,59,59,2,175,1,0,175,175,28,1,0,28,28,0,0.8214285714285714,0,6.035714285714286,59,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestISOLatin1AccentFilter,4,4,2,87,1,1,87,87,1,0,0,2,2,0,0,0,42.5,4,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestKeywordAnalyzer,10,10,2,53,1,8,53,53,5,2,0,5,5,0,0.2,0,9.8,10,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestKeywordMarkerFilter,4,4,2,37,2,1,37,37,2,0,0,2,2,0,0,0,7.5,4,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestLengthFilter,4,4,2,12,1,1,12,12,2,0,0,2,2,0,1,0,5,4,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestMappingCharFilter,26,26,2,83,2,0,83,83,13,1,0,13,13,0,0.6923076923076923,0,6.153846153846154,26,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestMockAnalyzer,16,16,2,58,1,15,58,58,6,0,0,6,6,0,0,0,8.833333333333334,16,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestNumericTokenStream,11,11,2,41,1,3,41,41,3,2,0,3,3,0,0,0,12.333333333333334,11,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestPerFieldAnalzyerWrapper,3,3,2,19,1,0,19,19,1,0,0,1,1,0,0,0,14,3,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestPorterStemFilter,8,8,2,31,2,4,31,31,3,1,0,4,4,0,0.25,0,5.75,8,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestStandardAnalyzer,62,62,2,139,1,0,139,139,30,1,0,31,31,0,0.9032258064516129,0,4.225806451612903,62,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestStopAnalyzer,12,12,2,57,1,4,57,57,4,2,0,4,4,0,0,0,13.25,12,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestStopFilter,16,16,2,86,2,15,86,86,4,0,0,6,6,0,0.16666666666666666,0,14,16,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestTeeSinkTokenFilter,16,16,2,159,2,9,159,159,4,6,0,6,6,0,0,0,19.333333333333332,16,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestToken,20,20,2,205,70,45,205,205,10,0,0,10,10,0,0,0,18.9,20,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestUAX29URLEmailTokenizer,84,84,2,322,3,0,322,322,33,3,0,37,37,0,0.7837837837837838,0,7.405405405405405,84,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.TestWordlistLoader,8,8,2,38,1,6,38,38,3,0,0,4,4,0,0,0,9,8,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.WordBreakTestUnicode_6_0_0,2,2,2,985,9,0,985,985,0,0,0,1,1,0,0,0,980,2,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.tokenattributes.TestCharTermAttributeImpl,34,34,2,227,1,120,227,227,14,0,0,16,16,0,0.1875,0,14.8125,34,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.tokenattributes.TestSimpleAttributeImpls,16,16,2,108,23,28,108,108,6,0,0,8,8,0,0,0,13.25,16,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.analysis.tokenattributes.TestTermAttributeImpl,14,14,2,122,1,21,122,122,7,0,0,7,7,0,0,0,17.142857142857142,14,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.collation.TestCollationKeyAnalyzer,11,11,2,33,1,4,33,33,5,7,0,5,5,0,0.6,0,4.8,11,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.collation.TestCollationKeyFilter,8,8,2,36,2,0,36,36,4,7,0,4,4,0,0.75,0,4,8,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.document.TestBinaryDocument,5,5,2,57,1,1,57,57,2,2,0,2,2,0,0,0,25,5,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.document.TestDateTools,14,14,2,138,1,15,138,138,5,0,0,6,6,0,0,0,22.166666666666668,14,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.document.TestDocument,24,24,2,189,8,36,189,189,8,2,0,9,9,0,0,0,20.22222222222222,24,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.document.TestNumberTools,9,9,2,42,1,6,42,42,3,0,0,4,4,0,0.25,0,10,9,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.Test2BPostings,5,5,2,55,1,0,55,55,1,0,0,1,1,0,0,0,30,5,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.Test2BTerms,19,19,2,143,1,6,143,143,1,0,0,4,4,0,0,0,26.75,19,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestAddIndexes,82,82,2,663,1,300,663,663,18,0,0,25,25,0,0.04,0,19.32,82,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestAtomicUpdate,6,6,2,123,1,1,123,123,1,0,0,2,2,0,0,0,26.5,6,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestBackwardsCompatibility,87,87,2,509,1,195,509,509,10,4,0,23,23,0,0.043478260869565216,0,22,87,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestByteSlices,5,5,2,65,1,0,65,65,1,0,0,1,1,0,0,0,46,5,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestCheckIndex,6,6,2,56,1,1,56,56,2,0,0,2,2,0,0,0,27,6,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestCompoundFile,70,70,2,446,1,36,446,446,15,1,0,24,24,0,0.125,0,18.458333333333332,70,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestConcurrentMergeScheduler,19,19,2,158,1,6,158,158,4,0,0,4,4,0,0,0,31.5,19,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestCrash,24,24,2,105,2,45,105,105,7,0,0,10,10,0,0,0,10.3,24,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestDirectoryReader,26,26,2,147,3,23,147,147,9,5,2,10,10,0,0.1,0,14,26,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestDoc,25,25,2,139,38,13,139,139,2,3,0,7,7,0,0.14285714285714285,0,18.714285714285715,25,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestDocumentWriter,47,47,2,223,1,9,223,223,12,9,0,15,15,0,0.2,0,19.866666666666667,47,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestFieldInfos,4,4,2,39,1,0,39,39,2,1,0,2,2,0,0.5,0,18,4,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestFieldsReader,52,52,2,452,1,0,452,452,12,4,0,15,15,0,0.2,0,26.4,52,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestFilterIndexReader,7,7,2,97,1,1,97,97,1,0,0,2,2,0,0.5,0,22,7,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestForTooMuchCloning,3,3,2,31,1,0,31,31,1,0,0,1,1,0,0,0,29,3,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestForceMergeForever,12,12,2,65,1,1,65,65,2,0,0,2,2,0,0,0,28.5,12,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexCommit,47,47,2,72,1,210,72,72,21,0,0,21,21,0,0,0,6.095238095238095,47,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexFileDeleter,19,19,2,123,1,10,123,123,1,0,0,5,5,0,0,0,24.2,19,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexInput,8,8,2,69,1,4,69,69,3,1,0,4,4,0,0,0,16.5,8,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexReader,118,118,2,914,104,741,914,914,31,0,0,39,39,0,0,0,22.846153846153847,118,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexReaderClone,67,67,2,342,3,300,342,342,20,0,0,25,25,0,0,0,13.48,67,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexReaderCloneNorms,38,38,2,211,1,28,211,211,6,8,0,12,12,0,0,0,16.083333333333332,38,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexReaderDelete,31,31,2,259,1,66,259,259,10,0,0,12,12,0,0.3333333333333333,0,21.416666666666668,31,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexReaderOnDiskFull,9,9,2,147,1,0,147,147,1,0,0,1,1,0,0,0,145,9,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexReaderReopen,168,168,2,965,60,946,965,965,26,1,0,44,44,0,0.29545454545454547,0,23.59090909090909,168,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexWriter,172,172,2,1536,94,1409,1536,1536,48,5,0,54,54,0,0.018518518518518517,0,26.27777777777778,172,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexWriterCommit,57,57,2,429,1,105,429,429,13,0,0,15,15,0,0,0,30.866666666666667,57,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexWriterConfig,26,26,2,198,1,21,198,198,7,0,0,7,7,0,0,0,26.428571428571427,26,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexWriterDelete,121,121,2,727,1,376,727,727,21,4,0,29,29,0,0.10344827586206896,0,27.06896551724138,121,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexWriterExceptions,102,102,2,835,1,248,835,835,18,3,0,24,24,0,0.16666666666666666,0,29.166666666666668,102,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexWriterForceMerge,19,19,2,122,1,6,122,122,4,0,0,4,4,0,0,0,30,19,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexWriterLockRelease,11,11,2,48,1,0,48,48,3,1,0,3,3,0,0,0,14,11,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexWriterMergePolicy,27,27,2,155,1,28,155,155,6,0,0,8,8,0,0,0,19.125,27,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexWriterMerging,24,24,2,158,1,21,158,158,5,0,0,7,7,0,0,0,21.428571428571427,24,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexWriterNRTIsCurrent,4,4,2,164,1,0,164,164,1,0,0,1,1,0,0,0,30,4,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexWriterOnDiskFull,27,27,2,369,1,15,369,369,4,0,0,6,6,0,0,0,57.333333333333336,27,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexWriterOnJRECrash,24,24,2,111,1,9,111,111,5,1,0,6,6,0,0,0,18.833333333333332,24,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexWriterReader,92,92,2,758,5,135,758,758,22,2,0,27,27,0,0.07407407407407407,0,25.962962962962962,92,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexWriterUnicode,38,38,2,164,1,55,164,164,5,1,0,11,11,0,0.36363636363636365,0,14.636363636363637,38,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIndexWriterWithThreads,39,39,2,304,1,78,304,304,11,0,0,13,13,0,0.6153846153846154,0,12.846153846153847,39,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestIsCurrent,11,11,2,47,1,0,47,47,4,2,0,4,4,0,0.25,0,10.75,11,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestLazyBug,24,24,2,81,1,8,81,81,6,7,0,8,8,2,0.75,0,8.375,24,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestLazyProxSkipping,17,17,2,122,2,0,122,122,3,6,0,5,5,0,0,0,14,17,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestLongPostings,25,25,2,337,4,6,337,337,2,0,0,4,4,0,0.25,0,83.75,25,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestMaxTermFrequency,11,11,2,63,1,0,63,63,4,3,0,4,4,0,0.25,0,10.25,11,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestMultiLevelSkipList,9,9,2,96,3,1,96,96,2,1,0,3,3,0,0,0,13.333333333333334,9,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestMultiReader,3,3,2,16,1,0,16,16,1,0,0,1,1,0,0,0,14,3,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestNRTReaderWithThreads,4,4,2,76,1,0,76,76,1,1,0,1,1,0,0,0,34,4,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestNRTThreads,19,19,2,73,6,4,73,70,3,1,2,5,4,0,0.2,0,16.75,19,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestNeverDelete,11,11,2,63,2,1,63,63,2,0,0,2,2,0,0,0,39.5,11,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestNewestSegment,2,2,2,9,1,0,9,9,1,0,0,1,1,0,0,0,7,2,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestNoDeletionPolicy,12,12,2,33,1,6,33,33,4,0,0,4,4,0,0,0,7.75,12,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestNoMergePolicy,11,11,2,27,1,6,27,27,4,0,0,4,4,0,0,0,6.25,11,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestNoMergeScheduler,9,9,2,20,1,3,20,20,3,0,0,3,3,0,0,0,6,9,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestNorms,34,34,2,182,19,3,182,182,5,8,0,10,10,0,0,0,15.3,34,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestOmitPositions,13,13,2,139,2,6,139,139,3,0,0,4,4,0,0,0,33.5,13,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestOmitTf,32,32,2,260,1,33,260,260,5,4,0,15,15,0,0,0,15.8,32,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestParallelReader,32,32,2,181,3,48,181,181,7,3,0,12,12,0,0,0,14.666666666666666,32,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestParallelReaderEmptyIndex,6,6,2,67,1,1,67,67,2,0,0,2,2,0,0,0,30.5,6,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestParallelTermEnum,6,6,2,139,1,0,139,139,3,4,0,3,3,0,0.3333333333333333,0,44.333333333333336,6,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestPayloadProcessorProvider,27,27,2,161,1,8,161,161,3,1,0,8,8,0,0.375,0,13.25,27,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestPayloads,36,36,2,420,1,55,420,420,6,0,0,11,11,0,0.09090909090909091,0,27.818181818181817,36,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestPerSegmentDeletes,21,21,2,118,1,10,118,118,1,0,0,5,5,0,0.2,0,17.2,21,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestPersistentSnapshotDeletionPolicy,31,31,2,102,1,0,102,102,10,2,0,11,11,0,0.18181818181818182,0,8.909090909090908,31,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestPositionBasedTermVectorMapper,8,8,2,59,1,0,59,59,2,4,0,2,2,0,0,0,26.5,8,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestPrefixCodedTerms,9,9,2,91,1,15,91,91,6,0,0,6,6,0,0,0,14.833333333333334,9,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestReaderClosed,8,8,2,36,1,0,36,36,3,3,0,3,3,0,0.3333333333333333,0,10.333333333333334,8,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestRollback,3,3,2,26,1,0,26,26,1,0,0,1,1,0,0,0,24,3,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestRollingUpdates,9,9,2,101,1,1,101,101,2,0,0,2,2,0,0,0,30.5,9,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestSameTokenSamePosition,5,5,2,28,1,1,28,28,2,0,0,2,2,0,0,0,13,5,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestSegmentInfo,11,11,2,51,1,3,51,51,3,0,0,3,3,0,0,0,18.333333333333332,11,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestSegmentMerger,11,11,2,111,1,0,111,111,5,8,0,5,5,0,0.4,0,20.2,11,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestSegmentReader,23,23,2,107,5,0,107,107,8,3,0,9,9,0,0.2222222222222222,0,11.333333333333334,23,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestSegmentTermDocs,23,23,2,167,1,29,167,167,7,3,0,11,11,0,0.45454545454545453,0,14.727272727272727,23,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestSegmentTermEnum,15,15,2,65,1,0,65,65,5,1,0,6,6,0,0.3333333333333333,0,10.333333333333334,15,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestSizeBoundedForceMerge,39,39,2,247,1,78,247,247,12,0,0,13,13,0,0,0,18.846153846153847,39,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestSnapshotDeletionPolicy,67,67,2,288,3,210,288,288,11,2,2,21,21,1,0.047619047619047616,0,15.428571428571429,67,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestStressAdvance,10,10,2,106,1,1,106,106,1,0,0,2,2,0,0,0,52,10,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestStressIndexing,6,6,2,97,3,1,97,97,1,0,0,2,2,0,0,0,13,6,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestStressIndexing2,48,48,2,421,1,70,421,421,3,9,0,13,13,0,0,0,18.692307692307693,48,0,0,0,0,../../metrics/lucene-3.6.0
org.apache.lucene.index.TestStressNRT,4,4,2,23,1,1,23,23,1,8,0,2,2,0,0,0,6.5,4,0,0,0,0,../../metrics/lucene-3.6.0
